koma_id,kanji,page,position,koma,chara_num,whos,eyes,face_direction,eyes_num,page_id,four_komas_id,tobirae_page,wasuu,grade,month,wasuu_page
01-031-2,1,31,R,2,1,"ゆ,",n,"↑,",1,01-031,01-031-R,False,4,1,04月,8
01-031-3,1,31,R,3,2,"縁,ゆ,","デ,デ","←,→,",3,01-031,01-031-R,False,4,1,04月,8
01-031-4,1,31,R,4,3,"ゆ,唯,縁,","デ,デ,デ","←,↓,↓,",4,01-031,01-031-R,False,4,1,04月,8
01-031-5,1,31,L,1,3,"縁,ゆ,唯,",n,"↑,↑,↑,",1,01-031,01-031-L,False,4,1,04月,8
01-031-6,1,31,L,2,3,"縁,ゆ,唯,",デ,"↑,↓,↑,",2,01-031,01-031-L,False,4,1,04月,8
01-031-7,1,31,L,3,2,"縁,ゆ,","デ,デ","↓,→,",3,01-031,01-031-L,False,4,1,04月,8
01-031-8,1,31,L,4,3,"縁,ゆ,唯,","デ,詳","←,↑,→,",3,01-031,01-031-L,False,4,1,04月,8
01-032-1,1,32,R,1,2,"ゆ,縁,","デ,デ","↓,↓,",3,01-032,01-032-R,False,4,1,04月,8
01-032-2,1,32,R,2,3,"ゆ,縁,唯,","デ,デ,詳","↓,→,↓,",4,01-032,01-032-R,False,4,1,04月,8
01-032-3,1,32,R,3,2,"ゆ,縁,","デ,デ","↓,→,",3,01-032,01-032-R,False,4,1,04月,8
01-032-4,1,32,R,4,2,"ゆ,唯,","デ,デ","↓,↓,",3,01-032,01-032-R,False,4,1,04月,8
01-032-5,1,32,L,1,2,"ゆ,唯,","デ,詳","↓,→,",3,01-032,01-032-L,False,4,1,04月,8
01-032-6,1,32,L,2,2,"ゆ,唯,","詳,詳","↓,↓,",3,01-032,01-032-L,False,4,1,04月,8
01-032-7,1,32,L,3,2,"ゆ,唯,","デ,デ","↓,→,",3,01-032,01-032-L,False,4,1,04月,8
01-032-8,1,32,L,4,2,"縁,ゆ,","デ,デ","↓,↓,",3,01-032,01-032-L,False,4,1,04月,8
01-033-1,1,33,R,1,2,"唯,ゆ,","詳,デ","↓,→,",3,01-033,01-033-R,False,4,1,04月,8
01-033-2,1,33,R,2,2,"唯,縁,","詳,デ","↓,↓,",3,01-033,01-033-R,False,4,1,04月,8
01-033-3,1,33,R,3,1,"縁,",詳,"↓,",2,01-033,01-033-R,False,4,1,04月,8
01-033-4,1,33,R,4,2,"ゆ,縁,",デ,"↑,↓,",2,01-033,01-033-R,False,4,1,04月,8
01-033-5,1,33,L,1,1,"ゆ,",デ,"↓,",2,01-033,01-033-L,False,4,1,04月,8
01-033-6,1,33,L,2,2,"縁,ゆ,","デ,デ","→,↓,",3,01-033,01-033-L,False,4,1,04月,8
01-033-7,1,33,L,3,2,"縁,ゆ,","詳,詳","←,↓,",3,01-033,01-033-L,False,4,1,04月,8
01-033-8,1,33,L,4,3,"唯,ゆ,縁,","デ,デ","↓,↑,↓,",3,01-033,01-033-L,False,4,1,04月,8
01-034-1,1,34,R,1,3,"ゆ,縁,唯,","デ,デ","↓,→,↑,",3,01-034,01-034-R,False,4,1,04月,8
01-034-2,1,34,R,2,0,,n,nan,1,01-034,01-034-R,False,4,1,04月,8
01-034-3,1,34,R,3,0,,n,nan,1,01-034,01-034-R,False,4,1,04月,8
01-034-4,1,34,R,4,3,"ゆ,縁,唯,","デ,デ,詳","←,←,→,",4,01-034,01-034-R,False,4,1,04月,8
01-034-5,1,34,L,1,1,"縁,",デ,"↓,",2,01-034,01-034-L,False,4,1,04月,8
01-034-6,1,34,L,2,1,"唯,",デ,"↓,",2,01-034,01-034-L,False,4,1,04月,8
01-034-7,1,34,L,3,1,"ゆ,",デ,"↓,",2,01-034,01-034-L,False,4,1,04月,8
01-034-8,1,34,L,4,3,"ゆ,縁,唯,","デ,デ,詳","↓,↓,↓,",4,01-034,01-034-L,False,4,1,04月,8
01-035-1,1,35,R,1,1,"唯,",デ,"↓,",2,01-035,01-035-R,False,4,1,04月,8
01-035-2,1,35,R,2,3,"ゆ,縁,唯,","デ,デ","→,→,↑,",3,01-035,01-035-R,False,4,1,04月,8
01-035-3,1,35,R,3,2,"縁,唯,","デ,詳","↓,→,",3,01-035,01-035-R,False,4,1,04月,8
01-035-4,1,35,R,4,1,"ゆ,",デ,"↓,",2,01-035,01-035-R,False,4,1,04月,8
01-035-5,1,35,L,1,3,"ゆ,縁,唯,","デ,デ,詳","←,↓,↓,",4,01-035,01-035-L,False,4,1,04月,8
01-035-6,1,35,L,2,1,"唯,",隠,"→,",2,01-035,01-035-L,False,4,1,04月,8
01-035-7,1,35,L,3,2,"縁,唯,","デ,詳","↓,↓,",3,01-035,01-035-L,False,4,1,04月,8
